artistID;artistName;trackID;trackName;tagsList
73;"Radiohead";284;"Jigsaw Falling Into Place";"7,20,1063,2594"
73;"Radiohead";895;"Weird Fishes/Arpeggi";"7,20,1063,2594"
73;"Radiohead";897;"Street Spirit (Fade Out)";"7,20,284,673,714,4695"
73;"Radiohead";1448;"Anyone Can Play Guitar (Live)";"7"
73;"Radiohead";1449;"Paperbag Writer";"564,4129,4695"
73;"Radiohead";1450;"High And Dry";"7,20,284,673,714,4695"
73;"Radiohead";1451;"Kinetic";"7,11,402,564"
73;"Radiohead";1467;"Black Star";"7,284,560,714,4695"
73;"Radiohead";1469;"My Iron Lung";"7,20,127,284,564,714"
73;"Radiohead";1470;"Just";"7,20,714,4695"
73;"Radiohead";1471;"(Nice Dream)";"7,714,4695"
73;"Radiohead";1472;"Bones";"7,284,714,4695"
73;"Radiohead";1474;"All I Need";"7,20,1063,2594"
73;"Radiohead";1603;"Faust Arp";"7,20,166,1063,2594"
73;"Radiohead";1695;"The Bends";"7,20,284,714,4695"
73;"Radiohead";1696;"Planet Telex";"7,20,564,714,4695"
73;"Radiohead";2316;"Treefingers";"7,20,280,1063,2594,4695"
73;"Radiohead";2321;"Idioteque";"7,20,1063,2594,4695"
73;"Radiohead";5586;"Everything In Its Right Place";"7,14,20,280,1063,2594,4695"
73;"Radiohead";5587;"Pyramid Song";"7,20,280,1063,4695"
73;"Radiohead";5589;"Lucky";"7,20,280,714,4695"
73;"Radiohead";5592;"Karma Police";"7,19,20,280,673,714,4695"
73;"Radiohead";5648;"The National Anthem";"7,20,1063,2594,4695"
73;"Radiohead";6605;"Optimistic";"7,20,280,1063,2594,4695"
73;"Radiohead";8152;"Airbag";"7,20,127,280,673,714,782"
73;"Radiohead";8166;"The Tourist";"7,20,280,714,782,4695"
73;"Radiohead";8167;"Climbing Up The Walls";"7,20,280,714,782,4695"
73;"Radiohead";8168;"Electioneering";"7,20,280,714,782,4695"
73;"Radiohead";8169;"Fitter Happier";"7,20,280,714,782,4695"
73;"Radiohead";8170;"Let Down";"7,20,673,714,4695"
73;"Radiohead";8171;"Exit Music (For A Film)";"7,11,20,280,714,2150,4695"
